GEO_ID,NAME,DP03_0001E,DP03_0005E,DP03_0006E,DP03_0007E,Unemployment_Ratio,Army_Ratio,Not_In_Ratio
0500000US29141,Morgan,16651,365,15,8743,0.021920605,0.000900847,0.525073569
0500000US29143,New Madrid,13065,308,14,6256,0.023574436,0.001071565,0.478836586
0500000US29145,Newton,46243,1327,21,18144,0.028696235,0.000454123,0.392362087
0500000US29147,Nodaway,18622,266,5,7717,0.01428418,0.0002685,0.41440232
0500000US29149,Oregon,7043,186,0,3638,0.026409201,0,0.516541247
0500000US29151,Osage,10683,96,5,3801,0.00898624,0.000468033,0.355798933
0500000US29153,Ozark,7221,212,0,4118,0.029358815,0,0.570281124
0500000US29155,Pemiscot,12284,690,0,6099,0.056170628,0,0.496499512
0500000US29157,Perry,15054,444,61,5471,0.029493822,0.004052079,0.363425003
0500000US29159,Pettis,33328,885,157,12713,0.026554249,0.004710754,0.381451032
0500000US29161,Phelps,36300,980,26,16601,0.026997245,0.000716253,0.457327824
0500000US29163,Pike,14405,275,26,7233,0.019090594,0.001804929,0.50211732
0500000US29165,Platte,82835,2230,516,24283,0.026920988,0.006229251,0.293149031
0500000US29167,Polk,25017,491,11,10508,0.019626654,0.000439701,0.420034377
0500000US29169,Pulaski,42963,1096,10217,12607,0.025510323,0.237809278,0.29343854
0500000US29171,Putnam,3708,118,0,1525,0.031823085,0,0.411272923
0500000US29173,Ralls,8385,255,0,3427,0.030411449,0,0.408706023
0500000US29175,Randolph,20054,547,45,8532,0.027276354,0.002243941,0.425451282
0500000US29177,Ray,18408,291,7,6892,0.015808344,0.000380269,0.374402434
0500000US29179,Reynolds,5164,336,0,2499,0.06506584,0,0.483927188
0500000US29181,Ripley,8605,221,0,4274,0.025682743,0,0.496687972
0500000US29183,St Charles,319400,7197,174,96278,0.022532874,0.000544771,0.301433939
0500000US29185,St Clair,7625,122,1,3792,0.016,0.000131148,0.497311475
0500000US29186,Ste Genevieve,14876,365,0,5888,0.024536166,0,0.395805324
0500000US29187,St Francois,54823,1433,5,26188,0.026138664,9.12026E-05,0.477682724
0500000US29189,St Louis,805813,23172,557,280188,0.028756051,0.000691227,0.347708463
0500000US29195,Saline,18479,257,2,7687,0.013907679,0.000108231,0.415985714
0500000US29197,Schuyler,3149,28,0,1282,0.008891712,0,0.407113369
0500000US29199,Scotland,3521,22,0,1595,0.006248225,0,0.452996308
0500000US29201,Scott,29806,726,43,11848,0.024357512,0.001442663,0.397503858
0500000US29203,Shannon,5785,97,0,3070,0.016767502,0,0.5306828
0500000US29205,Shelby,4801,35,0,1970,0.007290148,0,0.410331181
0500000US29207,Stoddard,23098,677,37,10540,0.029309897,0.00160187,0.456316564
0500000US29209,Stone,26608,1168,0,13669,0.043896572,0,0.513717679
0500000US29211,Sullivan,4797,78,0,2181,0.016260163,0,0.454659162
0500000US29213,Taney,45396,1410,8,18243,0.031060005,0.000176227,0.4018636
0500000US29215,Texas,20212,648,63,10029,0.032060162,0.00311696,0.496190382
0500000US29217,Vernon,15534,383,33,6518,0.024655594,0.002124372,0.419595726
0500000US29219,Warren,27792,870,0,10041,0.031303972,0,0.361291019
0500000US29221,Washington,19061,560,0,9363,0.029379361,0,0.491212423
0500000US29223,Wayne,9315,397,0,5290,0.042619431,0,0.567901235
0500000US29225,Webster,29551,802,61,12403,0.027139522,0.002064228,0.419715069
0500000US29227,Worth,1624,23,0,696,0.014162562,0,0.428571429
0500000US29229,Wright,14026,312,9,7031,0.022244403,0.000641665,0.501283331
0500000US29510,St Louis City,251030,9893,770,84202,0.039409632,0.003067362,0.335426045
